MoA	cmap_name	inchi_key	pert_id	target
CAR agonist	meclizine	OCJYIGYOJCODJL-UHFFFAOYSA-N	BRD-A50311610	NR1I3
CAR agonist	TCPOBOP	BAFKRPOFIYPKBQ-UHFFFAOYSA-N	BRD-K30743633	NR1I3
ALK inhibitor	DMH1	JMIFGARJSWXZSH-UHFFFAOYSA-N	BRD-K39381259	ACVR1
Akt inhibitor	GDC-0068	GRZXWCHAXNAUHY-NSISKUIASA-N	BRD-K43002773	AKT3
Akt inhibitor	GDC-0068	GRZXWCHAXNAUHY-NSISKUIASA-N	BRD-K43002773	AKT1
Akt inhibitor	GDC-0068	GRZXWCHAXNAUHY-NSISKUIASA-N	BRD-K43002773	AKT2
Akt inhibitor	palomid-529	YEAHTLOYHVWAKW-UHFFFAOYSA-N	BRD-A50998626	MTOR
BCL inhibitor	BCL2-inhibitor	YPSXFMHXRZAGTG-UHFFFAOYSA-N	BRD-K39111395	BCL2
BTK inhibitor	ibrutinib	XYFPWWZEPKGCCK-GOSISDBHSA-N	BRD-K70301465	BTK
CDK inhibitor	7-hydroxystaurosporine	PBCZSGKMGDDXIJ-KRUBCLEUSA-N	BRD-K45293975	CDK4
CDK inhibitor	7-hydroxystaurosporine	PBCZSGKMGDDXIJ-KRUBCLEUSA-N	BRD-K45293975	CHEK1
CDK inhibitor	7-hydroxystaurosporine	PBCZSGKMGDDXIJ-KRUBCLEUSA-N	BRD-K45293975	CHEK2
CDK inhibitor	7-hydroxystaurosporine	PBCZSGKMGDDXIJ-KRUBCLEUSA-N	BRD-K45293975	PDPK1
CDK inhibitor	7-hydroxystaurosporine	PBCZSGKMGDDXIJ-KRUBCLEUSA-N	BRD-K45293975	PRKCA
CDK inhibitor	7-hydroxystaurosporine	PBCZSGKMGDDXIJ-KRUBCLEUSA-N	BRD-K45293975	CDK1
CDK inhibitor	Ro-3306	XOLMRFUGOINFDQ-YBEGLDIGSA-N	BRD-K78373679	CDK1
CHK inhibitor	7-hydroxystaurosporine	PBCZSGKMGDDXIJ-KRUBCLEUSA-N	BRD-K45293975	CDK4
CHK inhibitor	7-hydroxystaurosporine	PBCZSGKMGDDXIJ-KRUBCLEUSA-N	BRD-K45293975	CHEK1
CHK inhibitor	7-hydroxystaurosporine	PBCZSGKMGDDXIJ-KRUBCLEUSA-N	BRD-K45293975	CHEK2
CHK inhibitor	7-hydroxystaurosporine	PBCZSGKMGDDXIJ-KRUBCLEUSA-N	BRD-K45293975	PDPK1
CHK inhibitor	7-hydroxystaurosporine	PBCZSGKMGDDXIJ-KRUBCLEUSA-N	BRD-K45293975	PRKCA
CHK inhibitor	7-hydroxystaurosporine	PBCZSGKMGDDXIJ-KRUBCLEUSA-N	BRD-K45293975	CDK1
HSP inhibitor	CCT-018159	OWPMENVYXDJDOW-UHFFFAOYSA-N	BRD-K65503129	HSP90AA1
ITK inhibitor	KIN001-127	RRHONYZEMUNMJX-UHFFFAOYSA-N	BRD-A29901043	ITK
JAK inhibitor	KIN001-055	YVCXQRVVNQMZEI-UHFFFAOYSA-N	BRD-K68407802	JAK3
KIT inhibitor	sunitinib	WINHZLLDWRZWRT-ATVHPVEESA-N	BRD-K42828737	FLT1
KIT inhibitor	sunitinib	WINHZLLDWRZWRT-ATVHPVEESA-N	BRD-K42828737	FLT3
KIT inhibitor	sunitinib	WINHZLLDWRZWRT-ATVHPVEESA-N	BRD-K42828737	FLT4
KIT inhibitor	sunitinib	WINHZLLDWRZWRT-ATVHPVEESA-N	BRD-K42828737	KDR
KIT inhibitor	sunitinib	WINHZLLDWRZWRT-ATVHPVEESA-N	BRD-K42828737	KIT
KIT inhibitor	sunitinib	WINHZLLDWRZWRT-ATVHPVEESA-N	BRD-K42828737	PDGFRA
KIT inhibitor	sunitinib	WINHZLLDWRZWRT-ATVHPVEESA-N	BRD-K42828737	PDGFRB
KIT inhibitor	sunitinib	WINHZLLDWRZWRT-ATVHPVEESA-N	BRD-K42828737	RET
MDM inhibitor	MDM2-inhibitor	BYMGWCQXSPGCMW-XCVCLJGOSA-N	BRD-K84987553	MDM2
MDM inhibitor	nutlin-3	BDUHCSBCVGXTJM-UHFFFAOYSA-N	BRD-A12230535	MDM2
MDM inhibitor	RITA	KZENBFUSKMWCJF-UHFFFAOYSA-N	BRD-K00317371	MDM2
MEK inhibitor	Ro-4987655	FIMYFEGKMOCQKT-UHFFFAOYSA-N	BRD-K64538373	MAP2K1
PKC inhibitor	7-hydroxystaurosporine	PBCZSGKMGDDXIJ-KRUBCLEUSA-N	BRD-K45293975	CDK4
PKC inhibitor	7-hydroxystaurosporine	PBCZSGKMGDDXIJ-KRUBCLEUSA-N	BRD-K45293975	CHEK1
PKC inhibitor	7-hydroxystaurosporine	PBCZSGKMGDDXIJ-KRUBCLEUSA-N	BRD-K45293975	CHEK2
PKC inhibitor	7-hydroxystaurosporine	PBCZSGKMGDDXIJ-KRUBCLEUSA-N	BRD-K45293975	PDPK1
PKC inhibitor	7-hydroxystaurosporine	PBCZSGKMGDDXIJ-KRUBCLEUSA-N	BRD-K45293975	PRKCA
PKC inhibitor	7-hydroxystaurosporine	PBCZSGKMGDDXIJ-KRUBCLEUSA-N	BRD-K45293975	CDK1
PKC inhibitor	PKCbeta-inhibitor	KIWODJBCHRADND-UHFFFAOYSA-N	BRD-K89687904	PRKCB
AMPK activator	AICA-ribonucleotide	NOTGFIUVDGNKRI-UHFFFAOYSA-N	BRD-A67373739	PRKAA1
AMPK activator	PTB1	BWJOQFMMTKEZGA-UHFFFAOYSA-N	BRD-K16554956	PTPN1
EGFR inhibitor	KIN001-055	YVCXQRVVNQMZEI-UHFFFAOYSA-N	BRD-K68407802	JAK3
EGFR inhibitor	tyrphostin-47	ZGHQGWOETPXKLY-XVNBXDOJSA-N	BRD-K96778649	EGFR
FLT3 inhibitor	sunitinib	WINHZLLDWRZWRT-ATVHPVEESA-N	BRD-K42828737	FLT1
FLT3 inhibitor	sunitinib	WINHZLLDWRZWRT-ATVHPVEESA-N	BRD-K42828737	FLT3
FLT3 inhibitor	sunitinib	WINHZLLDWRZWRT-ATVHPVEESA-N	BRD-K42828737	FLT4
FLT3 inhibitor	sunitinib	WINHZLLDWRZWRT-ATVHPVEESA-N	BRD-K42828737	KDR
FLT3 inhibitor	sunitinib	WINHZLLDWRZWRT-ATVHPVEESA-N	BRD-K42828737	KIT
FLT3 inhibitor	sunitinib	WINHZLLDWRZWRT-ATVHPVEESA-N	BRD-K42828737	PDGFRA
FLT3 inhibitor	sunitinib	WINHZLLDWRZWRT-ATVHPVEESA-N	BRD-K42828737	PDGFRB
FLT3 inhibitor	sunitinib	WINHZLLDWRZWRT-ATVHPVEESA-N	BRD-K42828737	RET
HDAC inhibitor	HDAC3-selective	RRJDFENBXIEAPD-UHFFFAOYSA-N	BRD-K29313308	HDAC3
HDAC inhibitor	HNHA	KPNNXHVGOKRBEF-UHFFFAOYSA-N	BRD-K76698671	HDAC1
HDAC inhibitor	ISOX	WWGBHDIHIVGYLZ-UHFFFAOYSA-N	BRD-K69840642	HDAC6
HDAC inhibitor	JNJ-26481585	PAWIYAYFNXQGAP-UHFFFAOYSA-N	BRD-K83837640	HDAC1
HDAC inhibitor	JNJ-26481585	PAWIYAYFNXQGAP-UHFFFAOYSA-N	BRD-K83837640	MDM2
HDAC inhibitor	Merck60	ABZSPJVXTTUFAA-UHFFFAOYSA-N	BRD-K04466929	HDAC1
HDAC inhibitor	Merck60	ABZSPJVXTTUFAA-UHFFFAOYSA-N	BRD-K04466929	HDAC2
