Up_regulated,Down_regulated
CXCL11,GLYATL1
MIR155 /// MIR155HG,KNCN
CD69,GPR88
XIST,LOC101929910 /// LOC613037 /// NPIPA5 /// NPIPB3 /// NPIPB4 /// NPIPB5
PBK,GPR37
CXCL6,C5orf27
EGR2,FAM224A /// FAM224B
CCL20,NCAM2
RRM2,CTAGE5 /// MIA2
GABBR1 /// UBD,LOC100129917
E2F8,BC045784
APOBEC3B,PTGR2
ADAMDEC1,EIF1AY
C15orf48,LOC100134822
THEMIS,RPS4Y1
APCDD1,CLTC-IT1
DTL,NR1D2
COL15A1,AX747730
TMEM255A,LOC100190986
RP11-496I2.2,SLITRK3
BCL2A1,LOC100291323
CXCL9,KCNN2
IL32,CNTN3
DLGAP5,SULT1E1
CENPK,AP000253.1
EPCAM,LOC100996782 /// MED18
LAIR2,CTSLP8
LOC100287497,RP3-522P13.2
DEPDC1,ILF3-AS1
EFEMP1,RP5-1092A3.4
DEPDC1B,C8orf44
CXCL10,NOL4
ITK,LOC101926951 /// PCDH20
EIF5 /// SNORA28,AC004951.6 /// AX747182
SOX9,AK126278 /// CUL4A
TOX,KDM5D
LAMP3,LOC101930301 /// LOC101930303 /// TRIM16L
CRTAM,SSU72P8 /// SSU72P8
CXCL8,KDM4C /// KDM4C
ANLN,FTX
AKR1B10,RP11-1114A5.4
CTHRC1,TLCD2
TTK,ABCB11
SLFN12,TSPAN13
KL,FCGR3A /// FCGR3B
TM6SF1,AC018462.2 /// BC071802
CNTNAP3 /// CNTNAP3B,RP11-436D10.3
TMEM154,CNGA4
ENPP5,BC052775 /// FNTB
ELOVL7,AFMID
