sample_id,condition
GSM2195416,infected
GSM2195417,infected
GSM2195418,infected
GSM2195419,infected
GSM2195420,infected
GSM2195421,infected
GSM2195422,infected
GSM2195423,infected
GSM2195424,infected
GSM2195425,infected
GSM2195426,infected
GSM2195427,infected
GSM2195428,infected
GSM2195429,infected
GSM2195430,infected
GSM2195431,infected
GSM2195432,infected
GSM2195433,infected
GSM2195434,infected
GSM2195435,infected
GSM2195436,infected
GSM2195437,infected
GSM2195438,infected
GSM2195439,infected
GSM2195440,infected
GSM2195441,infected
GSM2195442,infected
GSM2195443,infected
GSM2195444,infected
GSM2195445,infected
GSM2195446,infected
GSM2195447,infected
GSM2195448,infected
GSM2195449,infected
GSM2195450,infected
GSM2195451,infected
GSM2195452,infected
GSM2195453,infected
GSM2195454,infected
GSM2195455,infected
GSM2195456,infected
GSM2195457,infected
GSM2195458,infected
GSM2195459,infected
GSM2195460,infected
GSM2195461,infected
GSM2195462,infected
GSM2195463,infected
GSM2195464,infected
GSM2195465,infected
GSM2195466,infected
GSM2195467,infected
GSM2195468,infected
GSM2195469,infected
GSM2195470,infected
GSM2195471,infected
GSM2195472,infected
GSM2195473,infected
GSM2195474,infected
GSM2195475,infected
GSM2195476,infected
GSM2195477,infected
GSM2195478,infected
GSM2195479,infected
GSM2195480,infected
GSM2195481,infected
GSM2195482,infected
GSM2195483,infected
GSM2195484,infected
GSM2195485,infected
GSM2195486,infected
GSM2195487,infected
GSM2195488,infected
GSM2195489,infected
GSM2195490,infected
GSM2195491,infected
GSM2195492,infected
GSM2195493,infected
GSM2195494,infected
GSM2195495,infected
GSM2195496,infected
GSM2195497,infected
GSM2195498,infected
GSM2195499,infected
GSM2195500,infected
GSM2195501,infected
GSM2195502,infected
GSM2195503,infected
GSM2195504,infected
GSM2195505,infected
GSM2195506,infected
GSM2195507,infected
GSM2195508,infected
GSM2195509,infected
GSM2195510,infected
GSM2195511,infected
GSM2195512,infected
GSM2195513,infected
GSM2195514,infected
GSM2195515,infected
GSM2195516,infected
GSM2195517,infected
GSM2195518,infected
GSM2195519,infected
GSM2195520,infected
GSM2195521,infected
GSM2195522,infected
GSM2195523,infected
GSM2195524,infected
GSM2195525,infected
GSM2195526,infected
GSM2195527,infected
GSM2195528,infected
GSM2195529,infected
GSM2195530,infected
GSM2195531,infected
GSM2195532,infected
GSM2195533,infected
GSM2195534,infected
GSM2195535,infected
GSM2195536,infected
GSM2195537,infected
GSM2291960,control
GSM2291961,control
GSM2291962,control
GSM2291963,control
GSM2291964,control
GSM2291965,control
