"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CTBP1",0.939720368852457,8.3718684765625,17.2260611326,2.29372017326585e-35,5.39482984752127e-31,69.3838738812985
"RBM42",1.56382603825136,7.447858359375,16.2096454915725,5.15503962331482e-33,6.06232659701823e-29,64.1324225163916
"AKT1",1.66423101092896,7.687428515625,15.1923806783121,1.30999604828009e-30,1.02703690185159e-26,58.7495122429401
"MLF2",1.22593945355191,9.106791875,14.1944307984313,3.32616893449858e-28,1.95578733348516e-24,53.356573324021
"R3HDM4",1.14410535519125,7.51167375,13.8927710146305,1.80594959695553e-27,8.49518690407881e-24,51.7068257053439
"PHF1",0.829550806010927,7.3286614453125,13.4524506591111,2.16278047018374e-26,8.47809944312024e-23,49.2842769210466
"TRIM28",1.28983721311475,7.97579609375,13.4242837929041,2.53635186623707e-26,8.52214227055657e-23,49.1287617600113
"UQCRC1",1.13537040983607,9.953744921875,13.2742836167903,5.93100254449979e-26,1.74371474808294e-22,48.2995375909949
"PPP1R11",0.721809904371582,5.7545071484375,13.2122570775936,8.43099041357808e-26,2.20329882808174e-22,47.9561459476012
"ERAL1",1.15339259562842,6.708353984375,12.9590382584647,3.5531353884625e-25,8.3569744336638e-22,46.5514065372014
"MRPL49",0.68330606557377,8.68702109375,12.6586226547165,1.96773034731242e-24,4.207365251708e-21,44.8793418198326
"BANF1",1.5243981147541,7.846876953125,12.6399502450213,2.18897123595541e-24,4.2903836224726e-21,44.7752338180258
"RNF220",1.03547486338798,6.7356853125,12.6084330342325,2.62038175024007e-24,4.74087528966511e-21,44.5994645774803
"LMF2",0.74292204918033,7.765802578125,12.5619672092094,3.41651499914899e-24,5.73974519857031e-21,44.3402265916836
"LPPR2",0.941848101092893,5.9159848046875,12.5332598258601,4.02522956439589e-24,6.31155995697276e-21,44.1800057569588
"MGAT1",0.85240907103825,8.4224140625,12.4072225907216,8.27219841597185e-24,1.21601316714786e-20,43.4760567637765
"ZNF512",0.959732950819669,7.05563546875,12.341551037431,1.20432607447103e-23,1.6662205453858e-20,43.1089487114963
"KCNA4",0.921005355191255,4.4513465625,12.3152830295048,1.3996332480702e-23,1.82885411081173e-20,42.9620511966255
"PPME1",0.62947305100182,5.275800390625,12.2148849570379,2.48652835533613e-23,3.07806036407926e-20,42.4003091710286
"MIR4647 /// SLC35B2",1.15448008196722,8.111913828125,12.2044717311149,2.63930401139876e-23,3.10382151740494e-20,42.3420202439651
"PLCD1",0.883358333333332,7.062042578125,12.1437991414016,3.73600228450586e-23,4.18432255864657e-20,42.0023096537961
"B3GAT3",0.847435669398905,6.2340437890625,12.075431961074,5.52754976235187e-23,5.90945320047799e-20,41.6193385831548
"MED12",0.801356591530051,5.43093466796875,12.0097280574623,8.05553944009302e-23,8.23766467960817e-20,41.2511191544906
"DCTN1 /// SLC4A5",1.65113267759563,5.6401775,11.9599869339127,1.07141574977351e-22,1.04998743477804e-19,40.9722562679268
"EXD2",0.647010373406193,5.425878984375,11.7674075127416,3.23436904289539e-22,3.04289439555598e-19,39.8918597402105
"BCL7B",0.968455956284152,7.02996125,11.6907067894905,5.02345438250923e-22,4.54429411833142e-19,39.4612730512391
"USB1",0.719996466302368,4.92163385416667,11.6720830432424,5.59034474895819e-22,4.86981142575914e-19,39.3567009363098
"CTDSP1",0.777293934426226,8.73029828125,11.360285004835,3.35113093353111e-21,2.81494998416613e-18,37.6050242725964
"ILK",1.14897603825136,8.398779453125,11.3356662651886,3.86027052556022e-21,3.13081250900608e-18,37.4666624539515
"BLCAP",0.833661612021855,9.056350390625,11.287964171875,5.07741359933415e-21,3.98069226187798e-18,37.1985551471384
"ACTN4",1.30300204918032,8.720108828125,11.2649475832854,5.79527149670392e-21,4.39692856782181e-18,37.0691866454431
"USP21",0.94828353369763,6.26068052083333,11.2438366365625,6.54259942385686e-21,4.80881057653479e-18,36.9505269723274
"SIAH2",1.09423666666667,8.20923265625,11.1616877206652,1.0488886931637e-20,7.31862147778733e-18,36.4887759177001
"UBE2Z",0.837748624772309,6.362283046875,11.1601882348234,1.05796398913592e-20,7.31862147778733e-18,36.4803473885685
"RHOB",0.67764944808743,4.860058296875,11.1490133701554,1.12811672442447e-20,7.58094438813242e-18,36.4175341073605
"AGPAT1",1.16781993169399,7.8308150390625,11.0370947287708,2.14582228529302e-20,1.40193722639144e-17,35.788462350179
"WWP2",0.537837178961749,5.04931814453125,11.0265804318626,2.27942398033597e-20,1.4489743788514e-17,35.729366562064
"LRRC41",0.725497199453549,4.6033903515625,10.9751270525341,3.06327135267639e-20,1.89600374249865e-17,35.4401836589283
"PTOV1",1.17401396174863,8.002855390625,10.9240364175763,4.10797147233662e-20,2.4302709598451e-17,35.1530635689334
"ROGDI",1.09442931693989,7.044424609375,10.9229740042035,4.13311387728759e-20,2.4302709598451e-17,35.1470933007607
"DVL3",0.856473224043714,6.580046875,10.9106699004551,4.43574616406933e-20,2.54460365314416e-17,35.077950954775
"PPP4C",0.993855819672129,8.346363828125,10.895773277751,4.83193444012369e-20,2.70588328646926e-17,34.9942425888378
"MOB3A",0.935634986338797,6.2507254296875,10.8875832256918,5.06462831792211e-20,2.73409850720499e-17,34.9482215860587
"CDK16",0.862303306010928,5.91774283854167,10.8858663531302,5.11481013252635e-20,2.73409850720499e-17,34.9385743628955
"LSR",0.956150355191257,9.017514140625,10.8317260902827,6.97984887412598e-20,3.64813434487651e-17,34.6343785334713
"LZTR1",0.766948415300547,6.836754375,10.7621435509013,1.04072836354799e-19,5.24255024385285e-17,34.2434895017071
"PRR13",0.675438907103825,8.938649375,10.7609940292073,1.04761845859304e-19,5.24255024385285e-17,34.2370326773726
"PRUNE",0.772323148907103,5.57695466796875,10.7400912534243,1.18116722009545e-19,5.78755626249766e-17,34.1196271939314
"CABIN1",0.918362445355188,5.9226050390625,10.7365038289975,1.20574088802035e-19,5.78755626249766e-17,34.0994784742134
"IRF2",1.13360658469945,6.822782109375,10.7080012086942,1.42003665332674e-19,6.65038331941461e-17,33.9394038510072
"TMEM222",0.783097308743165,7.5995237890625,10.7043136663985,1.45040898978956e-19,6.65038331941461e-17,33.9186954363871
"RPAP1",0.9932618852459,6.132822734375,10.7019375483301,1.47032284272772e-19,6.65038331941461e-17,33.9053518531861
"PIGS",0.730885737704917,6.66115046875,10.5900346875147,2.7941102976321e-19,1.2312132198239e-16,33.277098512606
"TMEM214",1.18392284153005,6.931558125,10.5880089311618,2.82676504551406e-19,1.2312132198239e-16,33.2657284944252
"MYPOP",0.962097622950816,6.289694296875,10.5269930721436,4.01100918523577e-19,1.71525338248628e-16,32.9233214019457
