"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PTGS1",0.718242663934428,5.8043312890625,5.67129382280847,8.75030388765483e-08,1.17604084250081e-06,7.45650018979551
"PTGS2",0.660455860655736,2.5516519921875,4.9704255952368,2.0649652573938e-06,1.64303054309548e-05,4.41391517863832
"ALOX5",0.461880478142074,4.5361956640625,3.78864313972723,0.000230585869393099,0.000827491554489729,-0.0645239927642436
"IDO1",0.816957459016391,5.472977578125,3.44694724037874,0.000764132879292287,0.00224683151905921,-1.18227095647979
"TDO2",-0.547880874316943,8.935031875,-3.33139410073795,0.00112512445339397,0.00309435537229026,-1.54049215644828
"CH25H",1.20657677595628,4.20445515625,3.23441045454774,0.00154545817772845,0.0040374515539457,-1.83320541367968
"IRG1",0.346145519125682,2.63161828125,3.04000906351059,0.00286104031284674,0.00680951914168745,-2.39767058332483
"CMPK2",1.00603696721311,7.347538984375,2.96728920408953,0.00357678710925333,0.00822024944397482,-2.60104834145944
"ALOX15",0.314918825136612,2.914453671875,2.90977234414194,0.00425585614749018,0.00951408959119562,-2.75886481409334
"CYP2C9",-0.171017287275571,10.7317172433036,-1.5326849131542,0.127782315996549,0.177479631052252,-5.68438062339326
"RSAD2",0.373833292349727,6.0971590234375,1.15751546841366,0.249183095277491,0.315605083517857,-6.18013464073866
"CYP3A4",-0.240187163934429,9.866013609375,-1.09626690855071,0.274987654893265,0.342566719017485,-6.24823886603398
